1000	2
2000	8
3000	14
4000	27
5000	42
6000	70
7000	87
8000	108
9000	124
10000	151
11000	187
12000	212
13000	270
14000	304
15000	332
16000	384
17000	468
18000	525
19000	593
20000	634
21000	692
22000	783
23000	827
24000	948
25000	1052
26000	1105
27000	1137
28000	1224
29000	1327
30000	1407
31000	1544
32000	1544
33000	1709
34000	1924
35000	1933
36000	2048
37000	2228
38000	2272
39000	2437
40000	2648
41000	2685
42000	2769
43000	2963
44000	3090
45000	3206
46000	3362
47000	3517
48000	3758
49000	3844
50000	3953
51000	4180
52000	4309
53000	4498
54000	4644
55000	4851
56000	5160
57000	5180
58000	5368
59000	5516
60000	5957
61000	6395
62000	6087
63000	6502
64000	6863
65000	6938
66000	7110
67000	7623
68000	7501
69000	8077
70000	8121
71000	8265
72000	8133
73000	8422
74000	9039
75000	9197
76000	9446
77000	9645
78000	9726
79000	10110
80000	10650
81000	10453
82000	10850
83000	10914
84000	11315
85000	11785
86000	11681
87000	12484
88000	12708
89000	12554
90000	13159
91000	13516
92000	13754
93000	14042
94000	14952
95000	14766
96000	14713
97000	15054
98000	15723
99000	15877
100000	16112
