1000	0
2000	1
3000	1
4000	2
5000	2
6000	3
7000	3
8000	3
9000	4
10000	5
11000	5
12000	6
13000	6
14000	7
15000	9
16000	9
17000	10
18000	12
19000	13
20000	15
21000	15
22000	14
23000	15
24000	15
25000	15
26000	14
27000	18
28000	14
29000	15
30000	15
31000	17
32000	17
33000	19
34000	23
35000	19
36000	19
37000	19
38000	20
39000	24
40000	26
41000	22
42000	23
43000	24
44000	24
45000	24
46000	24
47000	25
48000	27
49000	33
50000	34
51000	30
52000	29
53000	29
54000	36
55000	36
56000	36
57000	46
58000	33
59000	31
60000	34
61000	38
62000	38
63000	41
64000	37
65000	41
66000	34
67000	35
68000	53
69000	53
70000	70
71000	64
72000	68
73000	56
74000	65
75000	76
76000	73
77000	64
78000	62
79000	63
80000	76
81000	67
82000	92
83000	74
84000	68
85000	82
86000	67
87000	55
88000	65
89000	69
90000	62
91000	71
92000	70
93000	68
94000	76
95000	61
96000	59
97000	71
98000	71
99000	58
100000	70
